,ROE,영업이익률,부채비율,EPS,순이익률,BPS,PER,PBR,종가
20221231,16.42469395,14.35212746,26.40592179,8057,18.41439518,51356.84057,6.863596872,1.076779634,55300
20211231,13.57570448,18.46672739,39.92169713,5777,14.27280581,44137.2952,13.55374762,1.774009931,78300
20201231,9.70998533,15.19966801,37.06774322,3841,11.151627,40136.43867,21.08825827,2.018116273,81000
20191231,8.509014515,12.05225817,34.11592071,3166,9.435235189,38285.32046,17.62476311,1.457477679,55800
20181231,18.20422808,24.15651113,36.97392224,6461,18.19116364,36097.38276,5.989784863,1.072099888,38700
20171231,19.46702845,22.39171608,40.68258709,5997,17.60896621,30490.73904,8.497582124,1.671327151,50960
20161231,11.71545684,14.48513573,35.86764259,3159,11.25796723,26822.48322,11.40867363,1.343648897,36040
20151231,10.2457627,13.16370976,35.25063372,126305,9.499034759,1186567.566,0.199517042,0.0212377287,25200
20141231,13.72689879,12.13595753,37.08456302,153105,11.34514004,1100057.63,0.17334509,0.0241260087,26540
20131231,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298,27440
